年月,変動金利（赤）,固定3年（緑）,固定10年（青）,政策金利,10年国債金利（長期金利）,ドル円レート,日経平均株価,都心23区,都心6区,城南・城西6区,城北・城東11区,大阪6区,名古屋3区,備考
1978-01,7.62,,,4.25,6.3,241.60,"5,112",,,,,,,データ開始（長期金利含む全網羅）
1978-02,7.62,,,4.25,6.3,238.10,"5,223",,,,,,,
1978-03,7.62,,,3.5,6.1,229.89,"5,448",,,,,,,日銀：公定歩合引き下げ
1978-04,7.62,,,3.5,6.1,224.97,"5,534",,,,,,,
1978-05,7.62,,,3.5,6.1,221.34,"5,470",,,,,,,
1978-06,7.62,,,3.5,6.1,203.71,"5,543",,,,,,,
1978-07,7.62,,,3.5,6.1,189.14,"5,601",,,,,,,
1978-08,7.62,,,3.5,6.1,190.51,"5,585",,,,,,,
1978-09,7.62,,,3.5,6.1,189.19,"5,772",,,,,,,
1978-10,7.62,,,3.5,6.1,179.50,"5,903",,,,,,,
1978-11,7.62,,,3.5,6.1,199.10,"5,967",,,,,,,
1978-12,7.62,,,3.5,6.1,194.30,"6,002",,,,,,,
1979-01,7.62,,,3.5,6.1,202.20,"6,213",,,,,,,
1979-02,7.62,,,3.5,6.1,202.65,"6,073",,,,,,,
1979-03,7.62,,,3.5,6.1,209.58,"6,134",,,,,,,
1979-04,7.62,,,4.25,7.2,221.80,"6,223",,,,,,,日銀：利上げ開始 / 長期金利が先行上昇
1979-05,7.62,,,4.25,7.2,220.35,"6,253",,,,,,,
1979-06,7.62,,,4.25,7.2,217.80,"6,247",,,,,,,
1979-07,8.12,,,5.25,7.9,216.70,"6,314",,,,,,,
1979-08,8.12,,,5.25,7.9,220.40,"6,436",,,,,,,
1979-09,8.12,,,5.25,7.9,224.50,"6,569",,,,,,,
1979-10,8.12,,,5.25,7.9,237.85,"6,444",,,,,,,
1979-11,8.12,,,6.25,8.3,249.55,"6,450",,,,,,,
1979-12,8.12,,,6.25,8.3,240.30,"6,569",,,,,,,
1980-01,8.12,,,6.25,8.3,239.33,"6,768",,,,,,,
1980-02,8.12,,,7.25,8.8,251.65,"6,765",,,,,,,
1980-03,8.12,,,9,9.2,249.95,"6,556",,,,,,,日銀：公定歩合最高9.00% / 長期金利もピークの9.2%超へ
1980-04,8.12,,,9,9.2,239.35,"6,866",,,,,,,
1980-05,8.88,,,9,8.9,223.00,"6,856",,,,,,,銀行：住宅ローン店頭金利が歴史上最高値の8.88%を記録
1980-06,8.88,,,9,8.9,219.90,"6,871",,,,,,,
1980-07,8.88,,,9,8.9,227.40,"6,820",,,,,,,
1980-08,8.88,,,8.25,8.4,219.10,"6,914",,,,,,,日銀：利下げ転換
1980-09,8.88,,,8.25,8.4,210.85,"7,076",,,,,,,
1980-10,8.88,,,8.25,8.4,211.05,"7,151",,,,,,,
1980-11,8.88,,,7.25,8.1,216.60,"7,124",,,,,,,
1980-12,8.88,,,7.25,8.1,203.10,"7,063",,,,,,,
1981-01,8.88,,,7.25,8.1,206.70,"7,254",,,,,,,
1981-02,8.88,,,7.25,8.1,209.70,"7,147",,,,,,,
1981-03,8.52,,,6.25,7.8,211.25,"7,334",,,,,,,
1981-04,8.52,,,6.25,7.8,215.78,"7,674",,,,,,,
1981-05,8.52,,,6.25,7.8,223.90,"7,540",,,,,,,
1981-06,8.52,,,6.25,7.8,226.85,"7,867",,,,,,,
1981-07,8.52,,,6.25,7.8,240.40,"7,828",,,,,,,
1981-08,8.52,,,6.25,7.8,230.50,"7,816",,,,,,,
